"detid","time","flow","lat","lon","geom"
K405Z2C,2016-09-19 08:09:00.000 +0200,300.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:12:00.000 +0200,340.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:15:00.000 +0200,240.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:18:00.000 +0200,480.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:21:00.000 +0200,280.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:24:00.000 +0200,540.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:27:00.000 +0200,620.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:30:00.000 +0200,340.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:33:00.000 +0200,400.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:36:00.000 +0200,840.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:39:00.000 +0200,660.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:42:00.000 +0200,560.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:45:00.000 +0200,640.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:48:00.000 +0200,640.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:51:00.000 +0200,700.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:54:00.000 +0200,620.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 08:57:00.000 +0200,740.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:00:00.000 +0200,920.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:03:00.000 +0200,920.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:06:00.000 +0200,760.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:09:00.000 +0200,960.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:12:00.000 +0200,940.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:15:00.000 +0200,920.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:18:00.000 +0200,1280.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:21:00.000 +0200,1060.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:24:00.000 +0200,920.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:27:00.000 +0200,1100.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:30:00.000 +0200,840.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:33:00.000 +0200,960.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:36:00.000 +0200,1300.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:39:00.000 +0200,1100.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:42:00.000 +0200,920.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:45:00.000 +0200,780.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:48:00.000 +0200,1020.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:51:00.000 +0200,880.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:54:00.000 +0200,920.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 09:57:00.000 +0200,1080.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:00:00.000 +0200,620.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:03:00.000 +0200,1020.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:06:00.000 +0200,480.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:09:00.000 +0200,1000.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:12:00.000 +0200,920.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:15:00.000 +0200,720.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:18:00.000 +0200,860.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:21:00.000 +0200,920.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:24:00.000 +0200,880.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:27:00.000 +0200,640.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:30:00.000 +0200,800.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:33:00.000 +0200,780.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:36:00.000 +0200,760.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:39:00.000 +0200,840.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:42:00.000 +0200,780.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:45:00.000 +0200,900.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:48:00.000 +0200,640.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:51:00.000 +0200,640.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:54:00.000 +0200,600.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 10:57:00.000 +0200,620.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:00:00.000 +0200,480.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:03:00.000 +0200,700.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:06:00.000 +0200,560.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:09:00.000 +0200,680.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:12:00.000 +0200,460.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:15:00.000 +0200,600.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:18:00.000 +0200,780.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:21:00.000 +0200,700.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:24:00.000 +0200,420.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:27:00.000 +0200,800.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:30:00.000 +0200,620.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:33:00.000 +0200,500.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:36:00.000 +0200,580.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:39:00.000 +0200,580.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:42:00.000 +0200,580.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:45:00.000 +0200,640.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:48:00.000 +0200,580.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:51:00.000 +0200,840.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:54:00.000 +0200,580.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 11:57:00.000 +0200,600.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 12:00:00.000 +0200,740.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 12:03:00.000 +0200,520.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
K405Z2C,2016-09-19 12:06:00.000 +0200,800.0,52.4356786,10.7993433,POINT (10.7993433 52.4356786)
